provider,vcpu,ram_gb,storage_gb,usage_hours,region,pricing_model,price_per_hour,monthly_cost,price_per_vcpu
AWS,1,2,20,180,us-east,on-demand,0.056,10.07,0.06
AWS,1,2,20,180,us-east,spot,0.0333,5.99,0.03
AWS,1,2,20,180,us-east,1yr-reserved,0.0475,8.55,0.05
AWS,1,2,20,180,us-east,3yr-reserved,0.0417,7.5,0.04
AWS,1,2,20,180,us-west,on-demand,0.061,10.98,0.06
AWS,1,2,20,180,us-west,spot,0.0444,7.99,0.04
AWS,1,2,20,180,us-west,1yr-reserved,0.0573,10.31,0.06
AWS,1,2,20,180,us-west,3yr-reserved,0.0432,7.78,0.04
AWS,1,2,20,180,europe,on-demand,0.0613,11.04,0.06
AWS,1,2,20,180,europe,spot,0.0374,6.72,0.04
AWS,1,2,20,180,europe,1yr-reserved,0.0526,9.47,0.05
AWS,1,2,20,180,europe,3yr-reserved,0.0505,9.08,0.05
AWS,1,2,20,180,asia,on-demand,0.0631,11.36,0.06
AWS,1,2,20,180,asia,spot,0.0425,7.64,0.04
AWS,1,2,20,180,asia,1yr-reserved,0.061,10.98,0.06
AWS,1,2,20,180,asia,3yr-reserved,0.0546,9.84,0.05
AWS,1,2,20,360,us-east,on-demand,0.0537,19.32,0.05
AWS,1,2,20,360,us-east,spot,0.0401,14.43,0.04
AWS,1,2,20,360,us-east,1yr-reserved,0.0523,18.82,0.05
AWS,1,2,20,360,us-east,3yr-reserved,0.0391,14.07,0.04
AWS,1,2,20,360,us-west,on-demand,0.0614,22.12,0.06
AWS,1,2,20,360,us-west,spot,0.0447,16.09,0.04
AWS,1,2,20,360,us-west,1yr-reserved,0.0519,18.69,0.05
AWS,1,2,20,360,us-west,3yr-reserved,0.0441,15.89,0.04
AWS,1,2,20,360,europe,on-demand,0.0647,23.27,0.06
AWS,1,2,20,360,europe,spot,0.0415,14.93,0.04
AWS,1,2,20,360,europe,1yr-reserved,0.0513,18.48,0.05
AWS,1,2,20,360,europe,3yr-reserved,0.045,16.19,0.04
AWS,1,2,20,360,asia,on-demand,0.0685,24.68,0.07
AWS,1,2,20,360,asia,spot,0.0483,17.39,0.05
AWS,1,2,20,360,asia,1yr-reserved,0.0627,22.58,0.06
AWS,1,2,20,360,asia,3yr-reserved,0.0573,20.63,0.06
AWS,1,2,20,540,us-east,on-demand,0.0554,29.92,0.06
AWS,1,2,20,540,us-east,spot,0.0447,24.13,0.04
AWS,1,2,20,540,us-east,1yr-reserved,0.0484,26.14,0.05
AWS,1,2,20,540,us-east,3yr-reserved,0.0456,24.64,0.05
AWS,1,2,20,540,us-west,on-demand,0.0616,33.25,0.06
AWS,1,2,20,540,us-west,spot,0.0437,23.57,0.04
AWS,1,2,20,540,us-west,1yr-reserved,0.057,30.77,0.06
AWS,1,2,20,540,us-west,3yr-reserved,0.0496,26.79,0.05
AWS,1,2,20,540,europe,on-demand,0.0631,34.07,0.06
AWS,1,2,20,540,europe,spot,0.0376,20.29,0.04
AWS,1,2,20,540,europe,1yr-reserved,0.0527,28.46,0.05
AWS,1,2,20,540,europe,3yr-reserved,0.0476,25.69,0.05
AWS,1,2,20,540,asia,on-demand,0.0635,34.27,0.06
AWS,1,2,20,540,asia,spot,0.043,23.19,0.04
AWS,1,2,20,540,asia,1yr-reserved,0.0551,29.75,0.06
AWS,1,2,20,540,asia,3yr-reserved,0.0508,27.43,0.05
AWS,1,2,20,720,us-east,on-demand,0.0559,40.28,0.06
AWS,1,2,20,720,us-east,spot,0.0374,26.91,0.04
AWS,1,2,20,720,us-east,1yr-reserved,0.0483,34.8,0.05
AWS,1,2,20,720,us-east,3yr-reserved,0.0415,29.89,0.04
AWS,1,2,20,720,us-west,on-demand,0.0582,41.92,0.06
AWS,1,2,20,720,us-west,spot,0.0478,34.4,0.05
AWS,1,2,20,720,us-west,1yr-reserved,0.0549,39.53,0.05
AWS,1,2,20,720,us-west,3yr-reserved,0.05,36.01,0.05
AWS,1,2,20,720,europe,on-demand,0.0598,43.05,0.06
AWS,1,2,20,720,europe,spot,0.0468,33.67,0.05
AWS,1,2,20,720,europe,1yr-reserved,0.052,37.47,0.05
AWS,1,2,20,720,europe,3yr-reserved,0.0488,35.12,0.05
AWS,1,2,20,720,asia,on-demand,0.0695,50.03,0.07
AWS,1,2,20,720,asia,spot,0.0488,35.15,0.05
AWS,1,2,20,720,asia,1yr-reserved,0.06,43.21,0.06
AWS,1,2,20,720,asia,3yr-reserved,0.0567,40.79,0.06
AWS,1,2,50,180,us-east,on-demand,0.0714,12.85,0.07
AWS,1,2,50,180,us-east,spot,0.0529,9.52,0.05
AWS,1,2,50,180,us-east,1yr-reserved,0.0588,10.59,0.06
AWS,1,2,50,180,us-east,3yr-reserved,0.0492,8.86,0.05
AWS,1,2,50,180,us-west,on-demand,0.0731,13.17,0.07
AWS,1,2,50,180,us-west,spot,0.0489,8.8,0.05
AWS,1,2,50,180,us-west,1yr-reserved,0.0633,11.4,0.06
AWS,1,2,50,180,us-west,3yr-reserved,0.0679,12.23,0.07
AWS,1,2,50,180,europe,on-demand,0.0802,14.43,0.08
AWS,1,2,50,180,europe,spot,0.0515,9.27,0.05
AWS,1,2,50,180,europe,1yr-reserved,0.0713,12.83,0.07
AWS,1,2,50,180,europe,3yr-reserved,0.0612,11.02,0.06
AWS,1,2,50,180,asia,on-demand,0.0862,15.52,0.09
AWS,1,2,50,180,asia,spot,0.0578,10.4,0.06
AWS,1,2,50,180,asia,1yr-reserved,0.0711,12.79,0.07
AWS,1,2,50,180,asia,3yr-reserved,0.0629,11.33,0.06
AWS,1,2,50,360,us-east,on-demand,0.0694,24.99,0.07
AWS,1,2,50,360,us-east,spot,0.0452,16.27,0.05
AWS,1,2,50,360,us-east,1yr-reserved,0.0628,22.62,0.06
AWS,1,2,50,360,us-east,3yr-reserved,0.0622,22.4,0.06
AWS,1,2,50,360,us-west,on-demand,0.0738,26.56,0.07
AWS,1,2,50,360,us-west,spot,0.0481,17.32,0.05
AWS,1,2,50,360,us-west,1yr-reserved,0.0729,26.23,0.07
AWS,1,2,50,360,us-west,3yr-reserved,0.0609,21.93,0.06
AWS,1,2,50,360,europe,on-demand,0.0741,26.68,0.07
AWS,1,2,50,360,europe,spot,0.047,16.92,0.05
AWS,1,2,50,360,europe,1yr-reserved,0.0644,23.18,0.06
AWS,1,2,50,360,europe,3yr-reserved,0.0651,23.45,0.07
AWS,1,2,50,360,asia,on-demand,0.0852,30.68,0.09
AWS,1,2,50,360,asia,spot,0.0571,20.56,0.06
AWS,1,2,50,360,asia,1yr-reserved,0.0684,24.61,0.07
AWS,1,2,50,360,asia,3yr-reserved,0.0654,23.53,0.07
AWS,1,2,50,540,us-east,on-demand,0.0724,39.11,0.07
AWS,1,2,50,540,us-east,spot,0.0492,26.56,0.05
AWS,1,2,50,540,us-east,1yr-reserved,0.0672,36.27,0.07
AWS,1,2,50,540,us-east,3yr-reserved,0.0617,33.3,0.06
AWS,1,2,50,540,us-west,on-demand,0.0709,38.27,0.07
AWS,1,2,50,540,us-west,spot,0.0562,30.36,0.06
AWS,1,2,50,540,us-west,1yr-reserved,0.069,37.28,0.07
AWS,1,2,50,540,us-west,3yr-reserved,0.0613,33.13,0.06
AWS,1,2,50,540,europe,on-demand,0.0755,40.76,0.08
AWS,1,2,50,540,europe,spot,0.057,30.76,0.06
AWS,1,2,50,540,europe,1yr-reserved,0.0644,34.78,0.06
AWS,1,2,50,540,europe,3yr-reserved,0.0619,33.43,0.06
AWS,1,2,50,540,asia,on-demand,0.0824,44.51,0.08
AWS,1,2,50,540,asia,spot,0.0667,36.0,0.07
AWS,1,2,50,540,asia,1yr-reserved,0.0793,42.83,0.08
AWS,1,2,50,540,asia,3yr-reserved,0.0632,34.15,0.06
AWS,1,2,50,720,us-east,on-demand,0.069,49.68,0.07
AWS,1,2,50,720,us-east,spot,0.0439,31.63,0.04
AWS,1,2,50,720,us-east,1yr-reserved,0.0665,47.89,0.07
AWS,1,2,50,720,us-east,3yr-reserved,0.0618,44.5,0.06
AWS,1,2,50,720,us-west,on-demand,0.073,52.57,0.07
AWS,1,2,50,720,us-west,spot,0.0549,39.53,0.05
AWS,1,2,50,720,us-west,1yr-reserved,0.0681,49.07,0.07
AWS,1,2,50,720,us-west,3yr-reserved,0.0551,39.69,0.06
AWS,1,2,50,720,europe,on-demand,0.0793,57.1,0.08
AWS,1,2,50,720,europe,spot,0.0553,39.79,0.06
AWS,1,2,50,720,europe,1yr-reserved,0.0728,52.42,0.07
AWS,1,2,50,720,europe,3yr-reserved,0.0635,45.73,0.06
AWS,1,2,50,720,asia,on-demand,0.0787,56.64,0.08
AWS,1,2,50,720,asia,spot,0.0553,39.84,0.06
AWS,1,2,50,720,asia,1yr-reserved,0.0678,48.79,0.07
AWS,1,2,50,720,asia,3yr-reserved,0.0752,54.16,0.08
AWS,1,2,100,180,us-east,on-demand,0.0955,17.19,0.1
AWS,1,2,100,180,us-east,spot,0.0716,12.89,0.07
AWS,1,2,100,180,us-east,1yr-reserved,0.0796,14.33,0.08
AWS,1,2,100,180,us-east,3yr-reserved,0.0662,11.91,0.07
AWS,1,2,100,180,us-west,on-demand,0.1031,18.56,0.1
AWS,1,2,100,180,us-west,spot,0.0799,14.37,0.08
AWS,1,2,100,180,us-west,1yr-reserved,0.0824,14.83,0.08
AWS,1,2,100,180,us-west,3yr-reserved,0.0807,14.53,0.08
AWS,1,2,100,180,europe,on-demand,0.0986,17.75,0.1
AWS,1,2,100,180,europe,spot,0.0786,14.15,0.08
AWS,1,2,100,180,europe,1yr-reserved,0.0969,17.44,0.1
AWS,1,2,100,180,europe,3yr-reserved,0.0757,13.62,0.08
AWS,1,2,100,180,asia,on-demand,0.1101,19.82,0.11
AWS,1,2,100,180,asia,spot,0.0792,14.26,0.08
AWS,1,2,100,180,asia,1yr-reserved,0.0948,17.06,0.09
AWS,1,2,100,180,asia,3yr-reserved,0.0989,17.81,0.1
AWS,1,2,100,360,us-east,on-demand,0.0913,32.87,0.09
AWS,1,2,100,360,us-east,spot,0.0592,21.32,0.06
AWS,1,2,100,360,us-east,1yr-reserved,0.0831,29.91,0.08
AWS,1,2,100,360,us-east,3yr-reserved,0.0796,28.66,0.08
AWS,1,2,100,360,us-west,on-demand,0.0964,34.7,0.1
AWS,1,2,100,360,us-west,spot,0.0661,23.81,0.07
AWS,1,2,100,360,us-west,1yr-reserved,0.0971,34.96,0.1
AWS,1,2,100,360,us-west,3yr-reserved,0.0842,30.33,0.08
AWS,1,2,100,360,europe,on-demand,0.1024,36.86,0.1
AWS,1,2,100,360,europe,spot,0.0732,26.35,0.07
AWS,1,2,100,360,europe,1yr-reserved,0.086,30.97,0.09
AWS,1,2,100,360,europe,3yr-reserved,0.0778,28.02,0.08
AWS,1,2,100,360,asia,on-demand,0.1086,39.1,0.11
AWS,1,2,100,360,asia,spot,0.0801,28.84,0.08
AWS,1,2,100,360,asia,1yr-reserved,0.0941,33.89,0.09
AWS,1,2,100,360,asia,3yr-reserved,0.0833,29.98,0.08
AWS,1,2,100,540,us-east,on-demand,0.0881,47.55,0.09
AWS,1,2,100,540,us-east,spot,0.0676,36.52,0.07
AWS,1,2,100,540,us-east,1yr-reserved,0.0784,42.35,0.08
AWS,1,2,100,540,us-east,3yr-reserved,0.0831,44.88,0.08
AWS,1,2,100,540,us-west,on-demand,0.1029,55.58,0.1
AWS,1,2,100,540,us-west,spot,0.0609,32.9,0.06
AWS,1,2,100,540,us-west,1yr-reserved,0.0849,45.82,0.08
