provider,region,pricing_model,vcpu,ram_gb,price_per_hour
AWS,asia,1yr-reserved,1,2,0.137405
AWS,asia,1yr-reserved,1,4,0.145575
AWS,asia,1yr-reserved,1,8,0.16601
AWS,asia,1yr-reserved,1,16,0.2033999999999999
AWS,asia,1yr-reserved,2,2,0.17592
AWS,asia,1yr-reserved,2,4,0.1881499999999999
AWS,asia,1yr-reserved,2,8,0.2027
AWS,asia,1yr-reserved,2,16,0.2423099999999999
AWS,asia,1yr-reserved,2,32,0.318965
AWS,asia,1yr-reserved,4,4,0.265325
AWS,asia,1yr-reserved,4,8,0.27925
AWS,asia,1yr-reserved,4,16,0.328045
AWS,asia,1yr-reserved,4,32,0.3926699999999999
AWS,asia,1yr-reserved,4,64,0.5591
AWS,asia,1yr-reserved,8,8,0.44759
AWS,asia,1yr-reserved,8,16,0.483995
AWS,asia,1yr-reserved,8,32,0.5713
AWS,asia,1yr-reserved,8,64,0.721095
AWS,asia,1yr-reserved,8,128,1.034745
AWS,asia,1yr-reserved,16,16,0.79402
AWS,asia,1yr-reserved,16,32,0.8805200000000001
AWS,asia,1yr-reserved,16,64,1.043075
AWS,asia,1yr-reserved,16,128,1.36572
AWS,asia,1yr-reserved,32,32,1.49997
AWS,asia,1yr-reserved,32,64,1.6928249999999998
AWS,asia,1yr-reserved,32,128,1.9855
AWS,asia,3yr-reserved,1,2,0.123195
AWS,asia,3yr-reserved,1,4,0.128715
AWS,asia,3yr-reserved,1,8,0.15431
AWS,asia,3yr-reserved,1,16,0.19028
AWS,asia,3yr-reserved,2,2,0.15875
AWS,asia,3yr-reserved,2,4,0.169395
AWS,asia,3yr-reserved,2,8,0.19275
AWS,asia,3yr-reserved,2,16,0.217465
AWS,asia,3yr-reserved,2,32,0.288465
AWS,asia,3yr-reserved,4,4,0.23908
AWS,asia,3yr-reserved,4,8,0.255945
AWS,asia,3yr-reserved,4,16,0.29935
AWS,asia,3yr-reserved,4,32,0.359665
AWS,asia,3yr-reserved,4,64,0.512745
AWS,asia,3yr-reserved,8,8,0.395965
AWS,asia,3yr-reserved,8,16,0.436815
AWS,asia,3yr-reserved,8,32,0.5128
AWS,asia,3yr-reserved,8,64,0.67059
AWS,asia,3yr-reserved,8,128,0.943595
AWS,asia,3yr-reserved,16,16,0.715675
AWS,asia,3yr-reserved,16,32,0.79922
AWS,asia,3yr-reserved,16,64,0.92639
AWS,asia,3yr-reserved,16,128,1.217915
AWS,asia,3yr-reserved,32,32,1.34424
AWS,asia,3yr-reserved,32,64,1.50162
AWS,asia,3yr-reserved,32,128,1.82084
AWS,asia,on-demand,1,2,0.152105
AWS,asia,on-demand,1,4,0.16177
AWS,asia,on-demand,1,8,0.183785
AWS,asia,on-demand,1,16,0.2265899999999999
AWS,asia,on-demand,2,2,0.196395
AWS,asia,on-demand,2,4,0.20342
AWS,asia,on-demand,2,8,0.225775
AWS,asia,on-demand,2,16,0.27252
AWS,asia,on-demand,2,32,0.35866
AWS,asia,on-demand,4,4,0.29459
AWS,asia,on-demand,4,8,0.320385
AWS,asia,on-demand,4,16,0.3632849999999999
AWS,asia,on-demand,4,32,0.447775
AWS,asia,on-demand,4,64,0.62582
AWS,asia,on-demand,8,8,0.487755
AWS,asia,on-demand,8,16,0.53496
AWS,asia,on-demand,8,32,0.618
AWS,asia,on-demand,8,64,0.80267
AWS,asia,on-demand,8,128,1.164495
AWS,asia,on-demand,16,16,0.8939600000000001
AWS,asia,on-demand,16,32,0.972315
AWS,asia,on-demand,16,64,1.159925
AWS,asia,on-demand,16,128,1.510675
AWS,asia,on-demand,32,32,1.685905
AWS,asia,on-demand,32,64,1.862205
AWS,asia,on-demand,32,128,2.23714
AWS,asia,spot,1,2,0.10661
AWS,asia,spot,1,4,0.112305
AWS,asia,spot,1,8,0.13397
AWS,asia,spot,1,16,0.1605049999999999
AWS,asia,spot,2,2,0.14027
AWS,asia,spot,2,4,0.144525
AWS,asia,spot,2,8,0.16392
AWS,asia,spot,2,16,0.190995
AWS,asia,spot,2,32,0.254885
AWS,asia,spot,4,4,0.2083
AWS,asia,spot,4,8,0.210805
AWS,asia,spot,4,16,0.263235
AWS,asia,spot,4,32,0.316505
AWS,asia,spot,4,64,0.4582
AWS,asia,spot,8,8,0.367495
AWS,asia,spot,8,16,0.3818
AWS,asia,spot,8,32,0.435425
AWS,asia,spot,8,64,0.572825
AWS,asia,spot,8,128,0.8024950000000001
AWS,asia,spot,16,16,0.638255
AWS,asia,spot,16,32,0.696375
AWS,asia,spot,16,64,0.8571500000000001
AWS,asia,spot,16,128,1.07522
AWS,asia,spot,32,32,1.224735
AWS,asia,spot,32,64,1.335035
AWS,asia,spot,32,128,1.558165
AWS,europe,1yr-reserved,1,2,0.1259849999999999
